"PROBEID","SYMBOL","GENENAME","UNIPROT"
"10362-35","MYC","MYC proto-oncogene, bHLH transcription factor","B4E1N7"
"10363-13","SMAD3","SMAD family member 3","H3BVD1"
"10364-6","SMAD2","SMAD family member 2","A0AAQ5BHK2"
"10365-132","IL12B","interleukin 12B","P29460"
"10366-11","PDGFRA","platelet derived growth factor receptor alpha","B2RE69"
"10367-62","IL12A","interleukin 12A","E9PGR3"
"10370-21","STAT1","signal transducer and activator of transcription 1","A0A669KB56"
"10372-18","STAT6","signal transducer and activator of transcription 6","A8K316"
"10379-19",NA,NA,NA
"10382-1","ANGPTL3","angiopoietin like 3","A0JLS0"
"10390-21","ZNRF3","zinc and ring finger 3","B3KU18"
"10391-1","ANGPTL3","angiopoietin like 3","A0JLS0"
"10396-6","MCL1","MCL1 apoptosis regulator, BCL2 family member","A0A087WT64"
"10398-110","ANKRD1","ankyrin repeat domain 1","A0A384NYH5"
"10416-79",NA,NA,NA
"10418-36","STX12","syntaxin 12","B1AJQ7"
"10419-1","SCARA5","scavenger receptor class A member 5","B4DVB2"
"10420-30","FAIM","Fas apoptotic inhibitory molecule","Q9NVQ4"
"10424-31","NPDC1","neural proliferation, differentiation and control 1","Q5SPY8"
"10425-3","B4GALT5","beta-1,4-galactosyltransferase 5","E1P625"
"10426-21","GOSR2","golgi SNAP receptor complex member 2","A0A1X7SBU8"
"10427-2",NA,NA,NA
"10428-1","KIR2DS2","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2","A0A1W2PSB7"
"10430-31","SLC3A2","solute carrier family 3 member 2","F5GZS6"
"10432-3","SHISAL1","shisa like 1","A6NHP0"
"10435-2","AGA","aspartylglucosaminidase","B2R7H2"
"10438-19","CSF2RA","colony stimulating factor 2 receptor subunit alpha","A7J003"
"10439-57","AMY2B","amylase alpha 2B","B3KTI1"
"10440-26","CLMP","CXADR like membrane protein","Q9H6B4"
"10442-1","TMEM190","transmembrane protein 190","A6NJL5"
"10445-20","APOM","apolipoprotein M","A0A1U9X793"
"10447-18","PABPC3","poly(A) binding protein cytoplasmic 3","Q2VIP3"
"10449-31","SHISA2","shisa family member 2","B9EH70"
"10451-11","NUCB1","nucleobindin 1","B2RD64"
"10452-24",NA,NA,NA
"10453-7","CEACAM20","CEA cell adhesion molecule 20","A0A087WXE1"
"10454-99","DNAJC16","DnaJ heat shock protein family (Hsp40) member C16","B3KN62"
"10455-196","IL31","interleukin 31","A2RUQ1"
"10457-3","IL18RAP","interleukin 18 receptor accessory protein","B2RPJ3"
"10460-1","CHIT1","chitinase 1","Q13231"
"10461-57",NA,NA,NA
"10462-14","INSL5","insulin like 5","Q3MIY4"
"10463-23","ALPI","alkaline phosphatase, intestinal","B2R7Y4"
"10464-6","ANTXR1","ANTXR cell adhesion molecule 1","H0YC24"
"10467-58",NA,NA,NA
"10470-34","TXNDC11","thioredoxin domain containing 11","O95887"
"10471-25",NA,NA,NA
"10472-53","TNFRSF14","TNF receptor superfamily member 14","F6UPZ7"
"10473-2","TFF2","trefoil factor 2","Q03403"
"10476-23",NA,NA,NA
"10477-162",NA,NA,NA
"10479-18","MMP10","matrix metallopeptidase 10","B2R9X9"
"10480-33","CD59","CD59 molecule (CD59 blood group)","A0A2U3TZL5"
"10485-56","MAGEA4","MAGE family member A4","P43358"
"10489-19",NA,NA,NA
"10490-3","RPN1","ribophorin I","B2R5Z0"
"10491-21",NA,NA,NA
"10494-48",NA,NA,NA
"10495-10",NA,NA,NA
"10496-11","CLCA1","chloride channel accessory 1","A8K7I4"
"10497-242",NA,NA,NA
"10499-1","TMEM106A","transmembrane protein 106A","A8K2X2"
"10501-3",NA,NA,NA
"10502-15",NA,NA,NA
"10503-55",NA,NA,NA
"10504-6",NA,NA,NA
"10505-12","RNF43","ring finger protein 43","A0A3B3ITA1"
"10506-53","PGRMC2","progesterone receptor membrane component 2","O15173"
"10507-166","ACRV1","acrosomal vesicle protein 1","B5BUP0"
"10510-62","SCIMP","SLP adaptor and CSK interacting membrane protein","Q6UWF3"
"10511-10","COL6A3","collagen type VI alpha 3 chain","A8MT30"
"10512-13","CSF2RB","colony stimulating factor 2 receptor subunit beta","P32927"
"10513-13","KCNIP3","potassium voltage-gated channel interacting protein 3","A0A8V8TMV8"
"10514-5","PTGDS","prostaglandin D2 synthase","A0A024R8G3"
"10516-53",NA,NA,NA
"10518-14",NA,NA,NA
"10521-10","MXRA8","matrix remodeling associated 8","B3KTR6"
"10522-167",NA,NA,NA
"10527-22","DHX9","DExH-box helicase 9","B2RNV4"
"10528-2","DPEP1","dipeptidase 1","A0A140VJI3"
"10529-19",NA,NA,NA
"10530-8","PSMB6","proteasome 20S subunit beta 6","A0A087X2I4"
"10531-18","NRAS","NRAS proto-oncogene, GTPase","A0A024R0K0"
"10533-1",NA,NA,NA
"10534-40","PARP1","poly(ADP-ribose) polymerase 1","B1ANJ4"
"10535-25","COX6A2","cytochrome c oxidase subunit 6A2","H6SG13"
"10539-30","CD99L2","CD99 molecule like 2","Q8TCZ2"
"10546-2","TSPEAR","thrombospondin type laminin G domain and EAR repeats","A0A087WZ72"
"10547-42",NA,NA,NA
"10548-35",NA,NA,NA
"10550-37","BMPR1B","bone morphogenetic protein receptor type 1B","A8KAE3"
"10551-7","LAT","linker for activation of T cells","C7C5T7"
"10552-88","KLRC4","killer cell lectin like receptor C4","H3BQV0"
"10553-8","TOR1AIP2","torsin 1A interacting protein 2","Q8NFQ8"
"10554-23","GLB1","galactosidase beta 1","B2R7H8"
"10557-6","TEX29","testis expressed 29","Q8N6K0"
"10558-26","PCDH9","protocadherin 9","A7E2D9"
"10560-1","ITM2C","integral membrane protein 2C","Q9NQX7"
"10561-5","PGLYRP3","peptidoglycan recognition protein 3","A1A4U8"
"10562-42","NETO2","neuropilin and tolloid like 2","Q32NC3"
"10563-13","LYSMD3","LysM domain containing 3","Q7Z3D4"
"10565-19","SLITRK3","SLIT and NTRK like family member 3","O94933"
"10569-28","MFAP2","microfibril associated protein 2","P55001"
"10571-14","MGAT1","alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","A8K404"
"10572-65","CST8","cystatin 8","A0A384MDQ4"
"10574-10","B2M","beta-2-microglobulin","A6XMH4"
"10575-31","PUF60","poly(U) binding splicing factor 60","E9PQ56"
"10576-7","PLXDC2","plexin domain containing 2","B4E367"
"10580-14","SFTA2","surfactant associated 2","A0A140T9P5"
"10582-36","POMK","protein O-mannose kinase","A0A6Q8PFH3"
"10583-1","TMEM108","transmembrane protein 108","D3DNC9"
"10584-7","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4","H0Y9M8"
"10588-39","ST3GAL5","ST3 beta-galactoside alpha-2,3-sialyltransferase 5","A0A1W2PRC6"
"10589-7","RAET1L","retinoic acid early transcript 1L","A3KME4"
"10593-14",NA,NA,NA
"10600-24","CLGN","calmegin","A0A140VKG2"
"10603-1","HTN3","histatin 3","P15516"
"10605-22","APMAP","adipocyte plasma membrane associated protein","A8K514"
"10606-34","TOR1AIP1","torsin 1A interacting protein 1","J3KN66"
"10607-4",NA,NA,NA
"10608-9","HTN1","histatin 1","P15515"
"10610-8",NA,NA,NA
"10612-18","PLOD3","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","B2R6W6"
"10613-33","GOLM2","golgi membrane protein 2","A8K4R1"
"10615-18","MPZ","myelin protein zero","A0A0J9YWT2"
"10616-67","PODXL2","podocalyxin like 2","Q6UVY4"
"10618-190","LRP2","LDL receptor related protein 2","O00711"
"10620-21","MSMB","microseminoprotein beta","B1API6"
"10621-26","PRR16","proline rich 16","A0A0A0MSW7"
"10622-9",NA,NA,NA
"10623-19","MUC1","mucin 1, cell surface associated","A5YRU8"
"10624-45","SPINK13","serine peptidase inhibitor Kazal type 13","A0A9E8LN18"
"10626-116","ST6GALNAC3","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","Q8NDV1"
"10627-87","APLP2","amyloid beta precursor like protein 2","A0A140VJE9"
"10630-5","HTATIP2","HIV-1 Tat interactive protein 2","Q9BUP3"
"10631-9","PGRMC2","progesterone receptor membrane component 2","O15173"
"10636-1","CD200R1","CD200 receptor 1","B3KWZ9"
"10637-50","ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1","E9PB18"
"10638-1","TINF2","TERF1 interacting nuclear factor 2","A0A8V8TQE2"
"10639-1",NA,NA,NA
"10640-9",NA,NA,NA
"10643-16","OLFM3","olfactomedin 3","Q5T3V6"
"10645-72",NA,NA,NA
"10647-18","ASCC1","activating signal cointegrator 1 complex subunit 1","A0A5F9ZHP1"
"10655-43",NA,NA,NA
"10658-28",NA,NA,NA
"10659-49",NA,NA,NA
"10660-33",NA,NA,NA
"10661-4",NA,NA,NA
"10663-42","INSIG1","insulin induced gene 1","A0A2Z2EKN2"
"10665-30",NA,NA,NA
"10666-7","GNPTG","N-acetylglucosamine-1-phosphate transferase subunit gamma","A0A804HI41"
"10667-78","C1orf185","chromosome 1 open reading frame 185","A6NHS3"
"10668-5","STX4","syntaxin 4","B7Z425"
"10670-26","SEMA3E","semaphorin 3E","B4DLY1"
"10671-67",NA,NA,NA
"10672-75","SFTPB","surfactant protein B","B2RC55"
"10675-223","TMX2","thioredoxin related transmembrane protein 2","B2R7I0"
"10677-9","NDUFB4","NADH:ubiquinone oxidoreductase subunit B4","O95168"
"10692-48",NA,NA,NA
"10693-43","KLRG2","killer cell lectin like receptor G2","A4D1S0"
"10695-12","WFDC10B","WAP four-disulfide core domain 10B","A6PVD7"
"10699-52","LRP1","LDL receptor related protein 1","Q07954"
"10700-10","IGSF11","immunoglobulin superfamily member 11","C9JZN0"
"10701-30",NA,NA,NA
"10702-1","COL28A1","collagen type XXVIII alpha 1 chain","A4D101"
"10703-203","SUDS3","SDS3 homolog, SIN3A corepressor complex component","Q4KMQ5"
"10704-91","IRAG2","inositol 1,4,5-triphosphate receptor associated 2","A0AVM2"
"10705-14","ST6GALNAC3","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","Q8NDV1"
"10708-3","GNRH2","gonadotropin releasing hormone 2","O43555"
"10710-23","ZPBP2","zona pellucida binding protein 2","Q6X784"
"10713-151","CD300LB","CD300 molecule like family member b","A8K4G0"
"10714-7","ACE","angiotensin I converting enzyme","A0A0A0MSN4"
"10715-5",NA,NA,NA
"10716-35","PSMD5","proteasome 26S subunit, non-ATPase 5","A8K4T6"
"10721-76","HSPA1A","heat shock protein family A (Hsp70) member 1A","A0A0G2JIW1"
"10722-13","SYK","spleen associated tyrosine kinase","A8K4G2"
"10723-41",NA,NA,NA
"10724-45",NA,NA,NA
"10731-10","HS3ST5","heparan sulfate-glucosamine 3-sulfotransferase 5","A8K1J2"
"10734-339","GAL3ST2","galactose-3-O-sulfotransferase 2","A0A0J9YWU2"
"10737-96","SERPINB1","serpin family B member 1","A8K5L2"
"10738-11","FBLN5","fibulin 5","A0A9L9PY85"
"10741-22","CSF1","colony stimulating factor 1","A8K6J5"
"10743-13","SLITRK1","SLIT and NTRK like family member 1","B4DRY1"
"10746-24","DKK3","dickkopf WNT signaling pathway inhibitor 3","A8K1I2"
"10748-216","PCDHB2","protocadherin beta 2","B2RBF7"
"10749-18","HSPA1A","heat shock protein family A (Hsp70) member 1A","A0A0G2JIW1"
"10752-8","CDYL2","chromodomain Y like 2","A0A0B4J291"
"10753-31","ADAM7","ADAM metallopeptidase domain 7","A0A384MTL6"
"10754-113","PROK2","prokineticin 2","Q53Z79"
"10756-34","UCN3","urocortin 3","Q496H2"
"10758-2","KERA","keratocan","B2RC89"
"10760-107","GRIA4","glutamate ionotropic receptor AMPA type subunit 4","P48058"
"10761-5","TMED2","transmembrane p24 trafficking protein 2","Q15363"
"10762-2","KLRG2","killer cell lectin like receptor G2","A4D1S0"
"10767-52","ADGRG2","adhesion G protein-coupled receptor G2","A8K4P7"
"10772-21","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2","A0A0S2Z5K4"
"10780-10","RAB3D","RAB3D, member RAS oncogene family","A0A024R7G2"
"10781-19","CLEC4G","C-type lectin domain family 4 member G","A0A7I2V4U5"
"10785-8","LRRC52","leucine rich repeat containing 52","A2RUN7"
"10791-21",NA,NA,NA
"10798-4","CD300E","CD300e molecule","B4DNS1"
"10800-15","SERPINH1","serpin family H member 1","A8K259"
"10801-11","EFNA2","ephrin A2","O43921"
"10803-22","HSPA1A","heat shock protein family A (Hsp70) member 1A","A0A0G2JIW1"
"10809-14","KLRB1","killer cell lectin like receptor B1","A8K7K7"
"10814-7","CD1A","CD1a molecule","Q8N5T0"
"10815-2","HABP4","hyaluronan binding protein 4","O75804"
"10816-150","PILRA","paired immunoglobin like type 2 receptor alpha","Q8NHI1"
"10817-26","TOMM20L","translocase of outer mitochondrial membrane 20 like","B2RPR0"
"10818-36","SMPD1","sphingomyelin phosphodiesterase 1","A8K8M3"
"10819-108","FBLN1","fibulin 1","A0A8S0LWY1"
"10823-19",NA,NA,NA
"10825-12","VSIG10","V-set and immunoglobulin domain containing 10","Q8N0Z9"
"10827-67","LINGO3","leucine rich repeat and Ig domain containing 3","P0C6S8"
"10830-5","EFCAB14","EF-hand calcium binding domain 14","A0A804H3B5"
"10832-24","B4GALT6","beta-1,4-galactosyltransferase 6","G3XA83"
"10833-64","HHIP","hedgehog interacting protein","A8K734"
"10835-25","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase","Q0VDK1"
"10837-131",NA,NA,NA
"10842-7","GCNT4","glucosaminyl (N-acetyl) transferase 4","Q9P109"
"10847-1","SIGLEC15","sialic acid binding Ig like lectin 15","A7E1W7"
"10848-137","BTNL3","butyrophilin like 3","Q496L7"
"10851-77","EBI3","Epstein-Barr virus induced 3","A0N0N2"
"10852-114","HNRNPDL","heterogeneous nuclear ribonucleoprotein D like","A0A087WUK2"
"10854-15","GCNT4","glucosaminyl (N-acetyl) transferase 4","Q9P109"
"10855-55","PLXNB2","plexin B2","A6QRH0"
"10866-60","PPP4R3A","protein phosphatase 4 regulatory subunit 3A","G3V5Z3"
"10870-32","SPAST","spastin","A0A2R8Y481"
"10876-300","BRAT1","BRCA1 associated ATM activator 1","A4D200"
"10880-38","FAM163B","family with sequence similarity 163 member B","B2RUZ5"
"10882-12","DSC1","desmocollin 1","Q9HB00"
"10885-36","C6orf89","chromosome 6 open reading frame 89","B4DTT1"
"10888-4",NA,NA,NA
"10889-2","MRAP2","melanocortin 2 receptor accessory protein 2","Q96G30"
"10890-135","LCTL","lactase like","A0A8Q3WKK9"
"10892-8","OSMR","oncostatin M receptor","Q99650"
"10894-25","SCGN","secretagogin, EF-hand calcium binding protein","A0A994J4C2"
"10895-28","TMPRSS11B","transmembrane serine protease 11B","A8K4D9"
"10900-272","STMN2","stathmin 2","Q93045"
"10902-53","ASPRV1","aspartic peptidase retroviral like 1","Q53RT3"
"10903-50","STX8","syntaxin 8","O60712"
"10907-116","NTM","neurotrimin","B7Z9J9"
"10908-2","GALNT13","polypeptide N-acetylgalactosaminyltransferase 13","B3KY85"
"10910-6","CEACAM4","CEA cell adhesion molecule 4","A0A077JJN3"
"10914-4",NA,NA,NA
"10916-44","PLA2R1","phospholipase A2 receptor 1","Q13018"
"10917-40","GNGT2","G protein subunit gamma transducin 2","B2R746"
"10924-258","CYB5D2","cytochrome b5 domain containing 2","Q8WUJ1"
"10927-65",NA,NA,NA
"10928-7",NA,NA,NA
"10933-107","CALN1","calneuron 1","A4D1Z1"
"10938-13","CD58","CD58 molecule","B1AMW1"
"10939-16","PLEKHA4","pleckstrin homology domain containing A4","Q9H4M7"
"10940-25","SRL","sarcalumenin","B3KPP4"
"10943-36",NA,NA,NA
"10945-11","STX6","syntaxin 6","O43752"
"10948-14","PLD3","phospholipase D family member 3","A0A8V8TPY8"
"10949-59","RPLP2","ribosomal protein lateral stalk subunit P2","P05387"
"10953-14","CLEC2A","C-type lectin domain family 2 member A","A5Y4G5"
"10955-4","CLEC10A","C-type lectin domain containing 10A","J3KR22"
"10956-82","GCSH","glycine cleavage system protein H","P23434"
"10959-125","BET1L","Bet1 golgi vesicular membrane trafficking protein like","B3KMY0"
"10961-15","PLAAT4","phospholipase A and acyltransferase 4","A6NG31"
"10962-46",NA,NA,NA
"10966-1","AHSG","alpha 2-HS glycoprotein","B7Z8Q2"
"10967-12","PRL","prolactin","A6XMH3"
"10970-3","ART3","ADP-ribosyltransferase 3 (inactive)","A0A8V8TQ78"
"10974-20","SPINK7","serine peptidase inhibitor Kazal type 7","P58062"
"10975-59","MUCL1","mucin like 1","F8VV13"
"10976-44","MUC1","mucin 1, cell surface associated","A5YRU8"
"10977-55","UCMA","upper zone of growth plate and cartilage matrix associated","A0A067XJP8"
"10978-39","GH2","growth hormone 2","A0A0M6L0J9"
"10980-11","ACHE","acetylcholinesterase (Yt blood group)","A4D2E2"
"10981-56","NRG3","neuregulin 3","B4DKH1"
"10990-21","LRRK2","leucine rich repeat kinase 2","A6NJU2"
"11067-13","BGLAP","bone gamma-carboxyglutamate protein","P02818"
"11071-1","IL5","interleukin 5","P05113"
"11081-1","GPD1","glycerol-3-phosphate dehydrogenase 1","B2R6C0"
"11083-23","ENO2","enolase 2","A8K3B0"
"11089-7","IGHA2","immunoglobulin heavy constant alpha 2 (A2m marker)",NA
"11094-104","CLC","Charcot-Leyden crystal galectin","C5HZ13"
"11096-57","HEMK2","HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine","B2RA97"
"11098-1","PDXK","pyridoxal kinase","F2Z2Y4"
"11101-18","TLR4","toll like receptor 4","D1CS55"
"11102-22","REG4","regenerating family member 4","Q8NER6"
"11103-24","HSPB1","heat shock protein family B (small) member 1","A0A6Q8PFK8"
"11104-13","CHI3L1","chitinase 3 like 1","B2R7B0"
"11105-171","ENO1","enolase 1","E2DRY6"
"11107-25","TENM3","teneurin transmembrane protein 3","A0A140VJW8"
"11109-56","SVEP1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","Q0P675"
"11110-4","TMEM119","transmembrane protein 119","Q4V9L6"
"11112-18","TMEM167A","transmembrane protein 167A","Q0P692"
"11116-16","C11orf87","chromosome 11 open reading frame 87","A0A158RFU1"
"11117-2","SPATA20","spermatogenesis associated 20","A0A0K0K1J9"
"11118-107","RAB17","RAB17, member RAS oncogene family","Q53QV6"
"11120-49","NAT14","N-acetyltransferase 14 (putative)","Q8TDY7"
"11121-56","VWC2","von Willebrand factor C domain containing 2","Q2TAL6"
"11122-97","SPG21","SPG21 abhydrolase domain containing, maspardin","B4DW44"
"11126-102","TRIO","trio Rho guanine nucleotide exchange factor","A0A2X0SFJ0"
"11128-29","TMEM132C","transmembrane protein 132C","Q69YX8"
"11129-66","BMP15","bone morphogenetic protein 15","O95972"
"11130-158","CACNB4","calcium voltage-gated channel auxiliary subunit beta 4","A7BJ74"
"11134-30","MTRF1L","mitochondrial translation release factor 1 like","Q9UGC7"
"11135-5","MRPL55","mitochondrial ribosomal protein L55","Q5TBY3"
"11137-43","CSF2RB","colony stimulating factor 2 receptor subunit beta","P32927"
"11138-16","RUNX3","RUNX family transcription factor 3","B4DVE5"
"11139-4",NA,NA,NA
"11140-56","COL1A1","collagen type I alpha 1 chain","O76045"
"11142-11","ANGPTL1","angiopoietin like 1","O95841"
"11143-32","OLFM3","olfactomedin 3","Q5T3V6"
"11144-10","DEFB116","defensin beta 116","Q30KQ4"
"11145-72","KIAA1549L","KIAA1549 like","H0YDE5"
"11146-4","TBX22","T-box transcription factor 22","Q5JZ06"
"11147-17","TREML1","triggering receptor expressed on myeloid cells like 1","Q86YW5"
"11149-3","TLR1","toll like receptor 1","A8KAB7"
"11150-3","COL6A1","collagen type VI alpha 1 chain","A0A384P5H7"
"11152-46","KLK13","kallikrein related peptidase 13","Q86VI7"
"11154-3","NFE2L1","NFE2 like bZIP transcription factor 1","J9JIE5"
"11155-16","COL6A5","collagen type VI alpha 5 chain","A8TX70"
"11157-35","HSPA1A","heat shock protein family A (Hsp70) member 1A","A0A0G2JIW1"
"11158-40","BICDL1","BICD family like cargo adaptor 1","H0YHP2"
"11159-14","MUL1","mitochondrial E3 ubiquitin protein ligase 1","B5M497"
"11160-56","RNF122","ring finger protein 122","Q52LK3"
"11161-5","SPART","spartin","A0A024RDV9"
"11162-37","EQTN","equatorin","Q9NQ60"
"11163-7","FAM162B","family with sequence similarity 162 member B","Q5T6X4"
"11164-7","TENM2","teneurin transmembrane protein 2","A0A8Q3SIB5"
"11167-6","MTMR1","myotubularin related protein 1","F8WA39"
"11168-3","MEGF10","multiple EGF like domains 10","Q68DE5"
"11171-25","FLNA","filamin A","E9KL45"
"11173-29","MILR1","mast cell immunoglobulin like receptor 1","A1L458"
"11174-8","THSD7A","thrombospondin type 1 domain containing 7A","Q9UPZ6"
"11175-45","LPCAT2","lysophosphatidylcholine acyltransferase 2","A3KBM1"
"11177-16","KRT5","keratin 5","B4E1T1"
"11178-21","SVEP1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","Q0P675"
"11179-7","TSSK1B","testis specific serine kinase 1B","A0ZT98"
"11180-17","SMARCC1","SWI/SNF related BAF chromatin remodeling complex subunit C1","Q17RS0"
"11184-51","CHGA","chromogranin A","B2R9E9"
"11185-145","GCH1","GTP cyclohydrolase 1","P30793"
"11186-12","TMEM52","transmembrane protein 52","Q4VXS6"
"11187-11","CLEC12A","C-type lectin domain family 12 member A","Q5QGZ9"
"11190-129","YME1L1","YME1 like 1 ATPase","A8K5H7"
"11192-168","TINAGL1","tubulointerstitial nephritis antigen like 1","B4DVG5"
"11193-27","HNF1A","HNF1 homeobox A","A0A0A0MQU7"
"11194-6","SIT1","signaling threshold regulating transmembrane adaptor 1","B2RBP9"
"11196-31","COL6A3","collagen type VI alpha 3 chain","A8MT30"
"11198-37","CREB3L1","cAMP responsive element binding protein 3 like 1","B2RA75"
"11200-52","CD93","CD93 molecule","O00274"
"11201-19","PUS1","pseudouridine synthase 1","E5KMT6"
"11202-70","TBX5","T-box transcription factor 5","A6ND77"
"11203-97","PKLR","pyruvate kinase L/R","A0A977JB91"
"11204-80","CXADR","CXADR Ig-like cell adhesion molecule","P78310"
"11205-10","ITGB7","integrin subunit beta 7","P26010"
"11207-3","MSR1","macrophage scavenger receptor 1","B4DDJ5"
"11208-15","NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","B2RAS1"
"11211-7","TBCE","tubulin folding cofactor E","A0A2R8Y5Q8"
"11212-7","TXNDC5","thioredoxin domain containing 5","A0A024QZV0"
"11214-40","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9","Q6FIF1"
"11215-6","CDH15","cadherin 15","P55291"
"11217-16","CTBP1","C-terminal binding protein 1","Q4KMQ8"
"11218-84","TPMT","thiopurine S-methyltransferase","O14806"
"11219-95","FGFBP3","fibroblast growth factor binding protein 3","B2RD68"
"11220-53","C10orf105","chromosome 10 open reading frame 105","Q8TEF2"
"11222-62",NA,NA,NA
"11223-1","TMEM154","transmembrane protein 154","B4DKS6"
"11226-16","UBE3A","ubiquitin protein ligase E3A","A8K8Z9"
"11227-31","TBL2","transducin beta like 2","B4DY50"
"11228-37","RIC3","RIC3 acetylcholine receptor chaperone","A0A0S2Z6D3"
"11229-16","ERN1","endoplasmic reticulum to nucleus signaling 1","A0A7P0TAB0"
"11230-12",NA,NA,NA
"11231-12","FDX2","ferredoxin 2","Q6P4F2"
"11232-46","TCN1","transcobalamin 1","A8KAC5"
"11237-49","PCOLCE","procollagen C-endopeptidase enhancer","A4D2D2"
